Second,CH1,CH2
+8.200000E-07,-2.000004E-02,-1.000000E-02
+8.220000E-07,-2.000004E-02,-1.000000E-02
+8.240000E-07,-2.000004E-02,-1.000000E-02
+8.260000E-07,-2.000004E-02,-1.000000E-02
+8.280000E-07,-2.000004E-02,-1.000000E-02
+8.300000E-07,-2.000004E-02,-7.999999E-03
+8.320000E-07,-6.000012E-02,-7.999999E-03
+8.340000E-07,-6.000012E-02,-7.999999E-03
+8.360000E-07,-6.000012E-02,-7.999999E-03
+8.380000E-07,-6.000012E-02,-7.999999E-03
+8.400000E-07,-6.000012E-02,-7.999999E-03
+8.420000E-07,-6.000012E-02,-6.000000E-03
+8.440000E-07,-6.000012E-02,-6.000000E-03
+8.460000E-07,-6.000012E-02,-6.000000E-03
+8.480000E-07,-6.000012E-02,-6.000000E-03
+8.500000E-07,-2.000004E-02,-4.000000E-03
+8.520000E-07,-6.000012E-02,-6.000000E-03
+8.540000E-07,-6.000012E-02,-6.000000E-03
+8.560000E-07,-6.000012E-02,-6.000000E-03
+8.580000E-07,-6.000012E-02,-6.000000E-03
+8.600000E-07,-6.000012E-02,-6.000000E-03
+8.620000E-07,-6.000012E-02,-7.999999E-03
+8.640000E-07,-6.000012E-02,-7.999999E-03
+8.660000E-07,-6.000012E-02,-7.999999E-03
+8.680000E-07,-6.000012E-02,-7.999999E-03
+8.700000E-07,-2.000004E-02,-7.999999E-03
+8.720000E-07,-2.000004E-02,-1.000000E-02
+8.740000E-07,-2.000004E-02,-1.000000E-02
+8.760000E-07,-2.000004E-02,-1.000000E-02
+8.780000E-07,-2.000004E-02,-1.000000E-02
+8.800000E-07,-2.000004E-02,-1.000000E-02
+8.820000E-07,-2.000004E-02,-1.000000E-02
+8.840000E-07,-2.000004E-02,-1.000000E-02
+8.860000E-07,-2.000004E-02,-1.000000E-02
+8.880000E-07,-2.000004E-02,-1.000000E-02
+8.900000E-07,+2.000004E-02,-7.999999E-03
